"state","district","idp_settlement","breadwinner","enough_water","enough_water.drinking","enough_water.cooking","enough_water.personal_hygiene_","enough_water.other__domestic_purposes_","enough_water.not_enough_water_","enough_water.dontknow","child_thin","latrine_features","latrine_features.door","latrine_features.walls_","latrine_features.lock","latrine_features.inside","latrine_features.outside","latrine_features.marked","latrine_features.close","latrine_features.access","latrine_features.soap","females_18_40","enrolled_boys_6_12","resp_gender","district_idp"
"Somaliland","taleex","yes","adult_male","drinking personal_hygiene_ other__domestic_purposes_",1,0,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Galmudug","gaalkacyo","no","adult_male","dontknow",0,0,0,0,0,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","laasqoray","no","adult_female","cooking drinking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","kismayo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,1,"female","jilib"
"Jubaland","kismayo","yes","adult_female","not_enough_water_",0,0,0,0,1,0,"no","door walls_",1,1,0,0,0,0,0,0,0,0,NA,"female",""
"Galmudug","gaalkacyo","yes","adult_male","personal_hygiene_ other__domestic_purposes_ not_enough_water_",0,0,1,1,1,0,"no","door",1,1,0,0,0,0,0,0,0,0,1,"male",""
"Hirshabelle","jowhar","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,NA,"male",""
"Galmudug","hobyo","no","adult_male","personal_hygiene_ other__domestic_purposes_ not_enough_water_",0,0,1,1,1,0,"no","outside lock walls_",1,1,1,0,1,0,0,0,0,0,1,"male",""
"Somaliland","ceerigaabo","no","adult_male","drinking cooking not_enough_water_",1,1,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Banadir","banadir_other","yes","adult_female","cooking personal_hygiene_ other__domestic_purposes_",0,1,1,1,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,NA,"female","hamar_jaab_jab"
"Banadir","banadir_hc","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","borama","no","adult_male","cooking drinking not_enough_water_",1,1,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Somaliland","ceerigaabo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Jubaland","baardheere","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"South West State","xudur","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","hobyo","no","adult_male","personal_hygiene_ other__domestic_purposes_ not_enough_water_",0,0,1,1,1,0,"no","inside outside walls_",0,1,0,1,1,0,0,0,0,1,1,"male",""
"Somaliland","ceerigaabo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","wanla_weyn","no","adult_female","cooking personal_hygiene_ other__domestic_purposes_ drinking",1,1,1,1,0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female","cabudwaaq"
"Jubaland","belet_xaawo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_female","other__domestic_purposes_",0,0,0,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"female",""
"Somaliland","berbera","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock inside outside",1,1,1,1,1,0,0,0,0,0,NA,"female",""
"Jubaland","kismayo","no","adult_male","personal_hygiene_ cooking drinking other__domestic_purposes_",1,1,1,1,0,0,"no","walls_ lock inside",1,1,1,1,0,0,0,0,0,1,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","kismayo","no","adult_female","not_enough_water_",0,0,0,0,1,0,"no","walls_",0,1,0,0,0,0,0,0,0,0,NA,"female",""
"Jubaland","belet_xaawo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","luuq","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,0,NA,"female",""
"Somaliland","caynabo","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ inside lock",1,1,1,1,0,0,0,0,0,3,2,"female",""
"Jubaland","baardheere","yes","adult_male","drinking personal_hygiene_",1,0,1,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","belet_xaawo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Hirshabelle","jowhar","no","adult_female","drinking",1,0,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Hirshabelle","jowhar","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Banadir","banadir_dharkenley","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,NA,"female","afmadow"
"Hirshabelle","jowhar","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_ not_enough_water_",1,1,1,1,1,0,"no","door walls_ lock inside",1,1,1,1,0,0,0,0,0,1,NA,"male",""
"Jubaland","doolow","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,1,"female","luuq"
"Somaliland","laasqoray","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,1,"male",""
"Banadir","banadir_hc","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"yes","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","luuq","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,6,1,"female",""
"Somaliland","hargeysa","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","gebiley","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"female",""
"Galmudug","hobyo","no","adult_male","personal_hygiene_ other__domestic_purposes_ not_enough_water_",0,0,1,1,1,0,"no","inside lock door",1,1,1,1,0,0,0,0,0,0,NA,"female",""
"Somaliland","taleex","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Banadir","banadir_kahda","yes","adult_female","drinking personal_hygiene_",1,0,1,0,0,0,"yes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female","baraawe"
"South West State","waajid","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","marka","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock inside outside",1,1,1,1,1,0,0,0,0,2,1,"female",""
"Somaliland","baki","no","adult_male","other__domestic_purposes_ cooking drinking",1,1,0,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Puntland","bandarbayla","no","adult_female","other__domestic_purposes_",0,0,0,1,0,0,"yes","door lock outside",1,1,1,0,1,0,0,0,0,0,1,"female",""
"Somaliland","borama","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door lock walls_",1,1,1,0,0,0,0,0,0,2,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","gaalkacyo","yes","adult_male","personal_hygiene_ other__domestic_purposes_ not_enough_water_",0,0,1,1,1,0,"no","inside door",1,1,0,1,0,0,0,0,0,1,NA,"female",""
"Jubaland","doolow","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"","walls_",0,1,0,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_female","cooking",0,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","kismayo","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","ceel_waaq","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","lughaye","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"male",""
"Jubaland","ceel_waaq","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","jariiban","no","adult_female","personal_hygiene_ cooking drinking",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"female",""
"Jubaland","belet_xaawo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Hirshabelle","balcad","no","adult_male","cooking drinking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_female","cooking other__domestic_purposes_",0,1,0,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","garbahaarey","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"male",""
"Somaliland","sheikh","no","adult_male","drinking other__domestic_purposes_ not_enough_water_",1,0,0,1,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"male",""
"Somaliland","laasqoray","no","adult_female","other__domestic_purposes_ personal_hygiene_ cooking drinking",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Jubaland","garbahaarey","no","adult_male","drinking personal_hygiene_",1,0,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","marka","no","adult_female","other__domestic_purposes_ personal_hygiene_ cooking drinking",1,1,1,1,0,0,"no","walls_ door lock",1,1,1,0,0,0,0,0,0,0,NA,"female",""
"Banadir","banadir_hodan","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female","baidoa"
"Jubaland","kismayo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","gaalkacyo","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","outside lock walls_ inside",1,1,1,1,1,0,0,0,0,1,NA,"female",""
"Galmudug","cadaado","no","adult_female","drinking cooking",1,1,0,0,0,0,"no","walls_ inside marked",0,1,0,1,0,1,0,0,0,2,NA,"female","hobyo"
"Jubaland","ceel_waaq","yes","eldery_male","not_enough_water_",0,0,0,0,1,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","belet_xaawo","no","adult_male","not_enough_water_",0,0,0,0,1,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Galmudug","cabudwaaq","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","marked",0,0,0,0,0,1,0,0,0,1,NA,"female",""
"Jubaland","kismayo","no","adult_female","drinking",1,0,0,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,1,"female",""
"Somaliland","laas_caanood","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Somaliland","berbera","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,2,"female",""
"Somaliland","burco","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Hirshabelle","jowhar","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","ceel_waaq","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Hirshabelle","belet_weyne","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ lock",1,1,1,0,0,0,0,0,0,0,NA,"female",""
"Somaliland","laasqoray","no","eldery_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,0,NA,"female",""
"Jubaland","ceel_waaq","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","burco","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Jubaland","wanla_weyn","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Banadir","banadir_hodan","yes","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female","qoryooley"
"Somaliland","gebiley","yes","adult_female","drinking personal_hygiene_ cooking",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,1,"female",""
"Hirshabelle","belet_weyne","no","adult_female","not_enough_water_",0,0,0,0,1,0,"no","walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"South West State","baidoa","no","adult_female","cooking drinking",1,1,0,0,0,0,"","door",1,1,0,0,0,0,0,0,0,3,NA,"female",""
"Jubaland","belet_xaawo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","owdweyne","no","adult_male","drinking cooking",1,1,0,0,0,0,"no","walls_ soap",0,1,0,0,0,0,0,0,1,1,NA,"female",""
"Puntland","eyl","no","adult_male","cooking personal_hygiene_",0,1,1,0,0,0,"no","door walls_ lock close",1,1,1,0,0,0,1,0,0,1,NA,"male",""
"Somaliland","ceel_afweyn","no","adult_male","drinking cooking",1,1,0,0,0,0,"yes","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","kismayo","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","garbahaarey","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Jubaland","belet_xaawo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","ceel_waaq","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Jubaland","ceel_waaq","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","kismayo","yes","adult_male","drinking",1,0,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","burco","yes","adult_female","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","walls_ lock",1,1,1,0,0,0,0,0,0,0,NA,"female",""
"Galmudug","jariiban","no","adult_female","drinking personal_hygiene_",1,0,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Galmudug","gaalkacyo","yes","adult_female","dontknow",0,0,0,0,0,1,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"female",""
"Somaliland","sheikh","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"female",""
"Banadir","banadir_other","yes","adult_male","cooking drinking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female","baidoa"
"Galmudug","galdogob","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ outside",1,1,0,0,1,0,0,0,0,1,NA,"female",""
"Somaliland","caynabo","no","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door walls_ inside outside lock",1,1,1,1,1,0,0,0,0,2,NA,"female",""
"Somaliland","gebiley","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Hirshabelle","belet_weyne","no","adult_male","cooking personal_hygiene_",0,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"male",""
"Jubaland","kismayo","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Hirshabelle","belet_weyne","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","inside outside",0,0,0,1,1,0,0,0,0,1,1,"female",""
"Jubaland","badhaadhe","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","lock walls_ inside door",1,1,1,1,0,0,0,0,0,1,NA,"male",""
"Banadir","banadir_kahda","yes","adult_male","cooking drinking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"male",""
"Hirshabelle","jowhar","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","afgooye","yes","adult_female","cooking drinking",1,1,0,0,0,0,"no","door walls_",1,1,0,0,0,0,0,0,0,1,2,"female",""
"Jubaland","kismayo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,1,"female",""
"Jubaland","luuq","no","adult_male","drinking personal_hygiene_",1,0,1,0,0,0,"","door walls_",1,1,0,0,0,0,0,0,0,0,NA,"male",""
"Jubaland","afmadow","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","laas_caanood","yes","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"male",""
"Jubaland","doolow","yes","adult_female","cooking drinking",1,1,0,0,0,0,"no","lock inside outside",1,1,1,1,1,0,0,0,0,1,NA,"female",""
"Banadir","banadir_hc","no","eldery_female","cooking",0,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,0,NA,"male",""
"Hirshabelle","belet_weyne","yes","adult_female","cooking drinking",1,1,0,0,0,0,"no","door outside",1,1,0,0,1,0,0,0,0,1,NA,"female",""
"Hirshabelle","jowhar","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door",1,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","ceerigaabo","no","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","door lock walls_",1,1,1,0,0,0,0,0,0,0,1,"female",""
"Hirshabelle","jowhar","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","lock",1,1,1,0,0,0,0,0,0,0,NA,"male",""
"Somaliland","laasqoray","yes","adult_female","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"female",""
"South West State","waajid","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"South West State","baidoa","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door inside",1,1,0,1,0,0,0,0,0,1,NA,"male",""
"Somaliland","caynabo","no","adult_female","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","walls_ door lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Galmudug","dhuusamarreeb","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","door outside",1,1,0,0,1,0,0,0,0,1,NA,"female",""
"Puntland","burtinle","no","adult_female","cooking drinking personal_hygiene_",1,1,1,0,0,0,"yes","door walls_",1,1,0,0,0,0,0,0,0,1,NA,"female","gaalkacyo_north"
"Galmudug","gaalkacyo","no","adult_male","cooking drinking",1,1,0,0,0,0,"yes","walls_ lock",1,1,1,0,0,0,0,0,0,1,2,"female",""
"Hirshabelle","balcad","no","adult_male","cooking personal_hygiene_ other__domestic_purposes_ not_enough_water_",0,1,1,1,1,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","berbera","no","adult_male","cooking drinking personal_hygiene_",1,1,1,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Hirshabelle","jowhar","yes","adult_female","drinking cooking",1,1,0,0,0,0,"no","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"female",""
"Somaliland","gebiley","yes","adult_male","drinking cooking personal_hygiene_ other__domestic_purposes_",1,1,1,1,0,0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"male",""
"Puntland","burtinle","yes","adult_female","drinking",1,0,0,0,0,0,"no","walls_",0,1,0,0,0,0,0,0,0,1,NA,"female",""
"Somaliland","laasqoray","no","adult_male","drinking cooking personal_hygiene_",1,1,1,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
"Jubaland","ceel_waaq","no","adult_male","drinking cooking other__domestic_purposes_ personal_hygiene_",1,1,1,1,0,0,"no","door lock",1,1,1,0,0,0,0,0,0,2,NA,"female",""
"Jubaland","garbahaarey","yes","adult_male","drinking cooking",1,1,0,0,0,0,"no","door walls_ lock",1,1,1,0,0,0,0,0,0,1,NA,"female",""
