type,name,label::English,label::Arabic,relevant,constraint,required,repeat_count,constraint_message,constraint_message::Arabic,read_only,appearance,choice_filter,default,calculation,hint,hint::Arabic
select_multiple assistance_type,type_assistance,"If yes, what type(s) of assistance are being provided in your AoO?",,"selected(${assistance_provided_in_aoo},'yes')",,yes,,,,,,,,,,
text,type_assistance_other,"If other, please specify",,"selected(${type_assistance},'other')",,yes,,,,,,,,,,
select_multiple provider,assistance_provider,"If yes, who is providing that assistance?",,"selected(${assistance_provided_in_aoo},'yes')",,yes,,,,,,,,,,
select_one yndd,basic_services_availability,"2.3 Are basic services (electricity, water, waste disposal, health, education) available in your area of origin?",,,,yes,,,,,,,,,,
select_multiple type_service,service_type,"If yes, what type(s) of services are available in your area of origin?",,"selected(${basic_services_availability},'yes')","not(selected(.,""do_not_know"") and count-selected(.) >1)",yes,,cannot select don`t know with other options,,,,,,,,
text,service_type_other,"If other, please specify",,"selected(${service_type},'other')",,,,,,,,,,,,
select_one conditionhouse,shelter_condition,2.4 What is the condition of your house in your area of origin?,,,,yes,,,,,,,,,,
select_one yndd,livelihood_available_in_aoo,2.5 Are there livelihood/income earning opportunities in your area of origin?,,,,yes,,,,,,,,,,
select_multiple livelihood_aoo,livelihood_availability,"If yes, what livelihood/income earning opportunities are currently available in your area of origin?",,"selected(${livelihood_available_in_aoo},'yes')","not(selected(.,""do_not_know"") or selected(.,""no_livelihood"") and count-selected(.) >1)",yes,,cannot select don`t know with other options,,,,,,,,
text,private_business_specify,"If private business, please specify",,"selected(${livelihood_availability},'private_business')",,yes,,,,,,,,,,
text,livelihood_availability_other,"If other, please specify",,"selected(${livelihood_availability},'other')",,yes,,,,,,,,,,
select_one intentions_3,movement_intentions_3,2.6 What are your household's current movement intentions for the next three months?,,,,yes,,,,,,,,,,
select_one intentions_12,movement_intentions_12,What are your household's current movement intentions for the next 12 months?,,"not(selected(${movement_intentions_3},'return'))",,yes,,,,,,,,,,
select_multiple reasons_return,reason_to_return_to_aoo,What are the main reasons why you currently intend to return to your area of origin? (Select max 3),,,"selected(${movement_intentions_12}, 'return') or selected(${movement_intentions_3},'return')",count-selected(.)<=3,yes,You cannot select more than 3 options.,,,,,,,,
select_multiple obstacles_return,why_not_return,"If not intending to return within the next year, why not? (select max. 3)",,"not(selected(${movement_intentions_3}, 'return')) and not(selected(${movement_intentions_12},'return'))","if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)",yes,,"You cannot select more than 3 options. You cannot select ""do not know"" or ""decline to answer"" and any other options.",,,,,,,,
select_one yes_no,attempt_to_return,"2.7 Have you been back to your area of origin or tried to go back, but then decided to displace again?",,,,yes,,,,,,,,,"We want to include both HH that tried to go back, or went back for a short period of time to their AoO, but then they re-displaced",
select_one yes_no,aoo_visit,Have you visited your area of origin in the past three months?,,"selected(${attempt_to_return},'yes')",,,,,,,,,,,,
select_multiple obstacles_return,obstacles_to_return,For what reasons were you unable to go back to or stay in your area of origin? (select max. 3),,"selected(${attempt_to_return},'yes')","if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)",yes,,,,,,,,,,
text,obstacles_to_return_other,"If other, please specify",,"selected(${obstacles_to_return},'other')",,yes,,,,,,,,,,
select_one move_when1,when_move_1,When do you plan to move?,,"selected(${movement_intentions_3},'return')",,yes,,,,,,,,,,
select_one move_when,when_move,When do you plan to move?,,"selected(${movement_intentions_12},'return') or
selected(${movement_intentions_12},'move_iraq') or
selected(${movement_intentions_12},'move_other')",,yes,,,,,,,,,,
select_one yndd,return_to_original_home,"If intending to return, do you intend to return to your original home? ",,"selected(${movement_intentions_3},'return')",,yes,,,,,,,,,,
select_one stay,where_stay,"If not, where do you intend to stay? ",,"selected(${return_to_original_home},'no')",,yes,,,,,,,,,,
select_one move_inside,move_inside_iraq,Where in Iraq do you intend to move?,,"selected(${movement_intentions_3},'move_iraq') or selected(${movement_intentions_12},'move_iraq') ",,yes,,,,,,,,,,
select_one camp_name_intention,intention_to_camp,To which camp you are planning to move to?,,"selected(${move_inside_iraq},'to_camp')",,,,,,,,,,,,
text,intention_to_camp_other,"If other, please specify",,"selected(${intention_to_camp},'other')",,,,,,,,,,,,
select_one governorate_intention,intention_to_camp_governorate,Which governorate is the camp located in?,,"selected(${intention_to_camp},'other')",,,,,,,,,,,,
select_one district_intention,intention_to_same_governorate_district,Which district within the  governorate do you intend to move to?,,"selected(${move_inside_iraq},'within_gov')",,yes,,,,,,filter=${governorate},,,,
select_one governorate_kri,intention_to_kri_governorate,Which governorate in the KRI region do you intend to move to?,,"selected(${move_inside_iraq},'diff_gov_kri')",,,,,,,,,,,,
select_one district_intention_kri,intention_to_kri_governorate_district,Which district in the KRI governorate do you intend to move to?,,"selected(${move_inside_iraq},'diff_gov_kri')",,yes,,,,,,filter=${intention_to_kri_governorate},,,,
select_one governorate_federaliraq,intention_to_iraq_governorate,Which governorate in Iraq do you intend to move to?,,"selected(${move_inside_iraq},'diff_gov_iraq')",,,,,,,,,,,,
select_one district_intention_federaliraq,intention_to_iraq_governorate_district,Which district in the governorate do you intend to move to?,,"selected(${move_inside_iraq},'diff_gov_iraq')",,yes,,,,,,filter=${intention_to_iraq_governorate},,,,
select_multiple reasons_move_abroad_relocate,reasons_move_abroad_relocate,"If you want to relocate to another area of displacement or migrate abroad, what are the main reasons why? (select max 3)",,"selected(${movement_intentions_3},'move_outside_iraq') or selected(${movement_intentions_3},'move_inside_iraq')
",,yes,,"if(selected(.,'do_not_know') or selected(.,'decline_to_answer'), count-selected(.)=1, count-selected(.)<=3)",,,,,,,,
text,reasons_relocate_other,"If other, please specify",,"selected(${reasons_move_abroad_relocate},'other')",,yes,,,,,,,,,,
select_multiple needs_return,needs_return,"2.8 If it were possible, what are the main needs you or your household require in order to return safely and dignified to your area of origin? (Select max 3)",,,"if(selected(.,'do_not_know') or selected(.,'refuse_to_answer') or selected(.,'nothing'), count-selected(.)=1, count-selected(.)<=3)",yes,,You cannot select more than 3 options.,,,,,,,,
text,needs_return_other,"If other, please specify",,"selected(${needs_return},'other')",,yes,,,,,,,,,,
