"","dependent.var","dependent.var.value","independent_repeat.value","independent_methode","repeat_methode","verif","difference"
"85","assistance_provided_in_aoo","decline_to_answer","ninewa",0.0282,0.0265,FALSE,0.0017
"86","assistance_provided_in_aoo","do_not_know","ninewa",0.2972,0.3222,FALSE,0.025
"87","assistance_provided_in_aoo","no","ninewa",0.5212,0.4951,FALSE,0.0261
"88","assistance_provided_in_aoo","yes","ninewa",0.1533,0.1561,FALSE,0.0028
"89","assistance_provided_in_aoo","decline_to_answer","salah.al.din",0.0167,0.0182,FALSE,0.0015
"90","assistance_provided_in_aoo","do_not_know","salah.al.din",0.2904,0.1918,FALSE,0.0986
"91","assistance_provided_in_aoo","no","salah.al.din",0.4118,0.4987,FALSE,0.0869
"92","assistance_provided_in_aoo","yes","salah.al.din",0.2811,0.2913,FALSE,0.0102
"93","type_assistance","cash","al.anbar",0,NA,NA,NA
"94","type_assistance","cash","erbil",0.0739,0.386,FALSE,0.3121
"95","type_assistance","cash","kirkuk",0.538,0.7616,FALSE,0.2236
"96","type_assistance","cash","ninewa",0.6666,0.6708,FALSE,0.00419999999999998
"97","type_assistance","cash","salah.al.din",0.5789,0.7035,FALSE,0.1246
"98","type_assistance","food","al.anbar",1,NA,NA,NA
"99","type_assistance","food","erbil",1,1,TRUE,0
"100","type_assistance","food","kirkuk",0.9711,0.9851,FALSE,0.014
"101","type_assistance","food","ninewa",0.8535,0.8595,FALSE,0.00600000000000001
"102","type_assistance","food","salah.al.din",0.9223,0.9791,FALSE,0.0568
"103","type_assistance","nfi_distributions","al.anbar",1,NA,NA,NA
"104","type_assistance","nfi_distributions","erbil",0.9261,0.614,FALSE,0.3121
"105","type_assistance","nfi_distributions","kirkuk",0.7113,0.851,FALSE,0.1397
"106","type_assistance","nfi_distributions","ninewa",0.471,0.4673,FALSE,0.00369999999999998
"107","type_assistance","nfi_distributions","salah.al.din",0.3519,0.2312,FALSE,0.1207
"108","type_assistance","livelihoods","al.anbar",0,NA,NA,NA
"109","type_assistance","livelihoods","erbil",0,0,TRUE,0
"110","type_assistance","livelihoods","kirkuk",0,0,TRUE,0
"111","type_assistance","livelihoods","ninewa",0.3348,0.3175,FALSE,0.0173
"112","type_assistance","livelihoods","salah.al.din",0,0,TRUE,0
"113","type_assistance","infrastructure_repair","al.anbar",0,NA,NA,NA
"114","type_assistance","infrastructure_repair","erbil",0,0,TRUE,0
"115","type_assistance","infrastructure_repair","kirkuk",0.1444,0.0745,FALSE,0.0699
"116","type_assistance","infrastructure_repair","ninewa",0.2106,0.1993,FALSE,0.0113
"117","type_assistance","infrastructure_repair","salah.al.din",0.136,0.0683,FALSE,0.0677
"118","type_assistance","other","al.anbar",0,NA,NA,NA
"119","type_assistance","other","erbil",0,0,TRUE,0
"120","type_assistance","other","kirkuk",0,0,TRUE,0
"121","type_assistance","other","ninewa",0,0,TRUE,0
"122","type_assistance","other","salah.al.din",0,0,TRUE,0
"123","assistance_provider","humanitarian","al.anbar",0,NA,NA,NA
"124","assistance_provider","humanitarian","erbil",1,1,TRUE,0
"125","assistance_provider","humanitarian","kirkuk",1,1,TRUE,0
"126","assistance_provider","humanitarian","ninewa",0.9849,0.9857,FALSE,0.000800000000000023
"127","assistance_provider","humanitarian","salah.al.din",0.9229,0.9682,FALSE,0.0452999999999999
"128","assistance_provider","local_authorities","al.anbar",1,NA,NA,NA
"129","assistance_provider","local_authorities","erbil",0.3087,0.2047,FALSE,0.104
"130","assistance_provider","local_authorities","kirkuk",0,0,TRUE,0
"131","assistance_provider","local_authorities","ninewa",0.1,0.1077,FALSE,0.0077
"132","assistance_provider","local_authorities","salah.al.din",0.3618,0.3376,FALSE,0.0242
"133","assistance_provider","security_actor","al.anbar",0,NA,NA,NA
"134","assistance_provider","security_actor","erbil",0,0,TRUE,0
"135","assistance_provider","security_actor","kirkuk",0,0,TRUE,0
"136","assistance_provider","security_actor","ninewa",0.0035,0.0033,FALSE,2e-04
"137","assistance_provider","security_actor","salah.al.din",0.013,0.0019,FALSE,0.0111
"138","assistance_provider","local_community","al.anbar",0,NA,NA,NA
"139","assistance_provider","local_community","erbil",0,0,TRUE,0
"140","assistance_provider","local_community","kirkuk",0,0,TRUE,0
"141","assistance_provider","local_community","ninewa",0.0078,0.0074,FALSE,0.000399999999999999
"142","assistance_provider","local_community","salah.al.din",0,0,TRUE,0
"143","when_move_1","1_2_weeks","kirkuk",1,NA,NA,NA
"144","when_move_1","1_2_weeks","ninewa",0.0374,0.0406,FALSE,0.00319999999999999
"145","when_move_1","2_3_months","ninewa",0.363,0.3648,FALSE,0.00180000000000002
"146","when_move_1","3_4_weeks","ninewa",0.1865,0.1796,FALSE,0.00689999999999999
"147","when_move_1","decline_to_answer","ninewa",0.0374,0.0406,FALSE,0.00319999999999999
"148","when_move_1","do_not_know","ninewa",0.3756,0.3744,FALSE,0.00119999999999998
"149","when_move_1","2_3_months","salah.al.din",0.2727,0.2727,TRUE,0
"150","when_move_1","do_not_know","salah.al.din",0.7273,0.7273,TRUE,0
